;;;;;;
Date :;02/06/2020;;;;;
;;;;;;
GLN DISTRIBUTEUR;RAISON SOCIALE DISTRIBUTEUR;CODE POSTAL;VILLE;PAYS;NB TITRES FEL;COMM. VIA DILICOM
3010955600100;HACHETTE LIVRE;78310;MAUREPAS;FRANCE;517338;O
3011270700000;UNION DISTRIBUTION - UD;94152;RUNGIS CEDEX;FRANCE;171897;O
3011354100100;ASSIMIL;94431;CHENNEVIERES-SUR-MARNE CEDEX;FRANCE;2725;O
3011480200100;LITO;94500;CHAMPIGNY SUR MARNE;FRANCE;4620;O
3012166100000;INTERFORUM EDITIS;94200;IVRY SUR SEINE;FRANCE;194636;O
3012261610000;CARTOTHEQUE;37304;JOUE LES TOURS CEDEX;FRANCE;38662;O
3012261700000;REPERES DU TEMPS;75016;PARIS;FRANCE;9;N
3012261750000;TAWHID;69003;LYON;FRANCE;169;O
3012262710000;CID - FMSH DIFFUSION;75006;PARIS;FRANCE;14477;O
3012264200000;L APPEL DU LIVRE;75011;PARIS;FRANCE;1;N
3012264580000;MAKASSAR;75020;PARIS;FRANCE;8492;O
3012264740000;DG DIFFUSION;31750;ESCALQUENS;FRANCE;30825;O
3012265350000;ETAI DIFFUSION;92160;ANTONY;FRANCE;2600;O
3012268230000;BELLES LETTRES - BLDD S.A.S.;94270;LE KREMLIN BICETRE;FRANCE;34448;O
3012269460000;SIDE - SOCIETE INTERNATIONALE DE;94386;SUCY EN BRIE CEDEX;FRANCE;6871;O
3012275180000;HONORE CHAMPION;75006;PARIS;FRANCE;9866;N
3012277460000;PIROUETTE;67920;SUNDHOUSE;FRANCE;693;O
3012279030000;GISSEROT;29800;PLOUEDERN;FRANCE;1407;O
3012280120000;ADIRA;CH 1204;GENEVE;SUISSE;8;O
3012280490000;CHARLES CORLET;14110;CONDE SUR NOIREAU;FRANCE;522;N
3012293200000;ARDHAN - ASSOCIATION RECHERCHE;75009;PARIS;FRANCE;27;O
3012342240000;INTERART DIFFUSION;75020;PARIS;FRANCE;40530;O
3012343380000;SOLEILS;75006;PARIS;FRANCE;10056;O
3012386390000;BNTP;92270;BOIS COLOMBES;FRANCE;2;N
3012386420000;LCCI;75116;PARIS;FRANCE;1;N
3012386670000;MICHEL RELAVE;83690;SALERNES;FRANCE;1;N
3012388070000;LE CAPOIS;64200;BIARRITZ;FRANCE;1;N
3012388160000;DU LAU;83040;TOULON CEDEX 9;FRANCE;118;N
3012393460000;VRIN;75005;PARIS;FRANCE;5352;N
3012393540000;KARTHALA;75013;PARIS;FRANCE;3060;O
3012399960000;HEURES DE FRANCE;75005;PARIS;FRANCE;161;O
3012399980000;BEAUCHESNE;75005;PARIS;FRANCE;1398;O
3012400400000;LA MAIN MULTIPLE;74330;POISY;FRANCE;162;N
3012400590019;RESSOURCE MAISON;91440;BURES SUR YVETTE;FRANCE;17;N
3012400600015;DE LA LOUPE;49130;LES PONTS DE CE;FRANCE;901;O
3012400670018;LE SIGNE;67038;STRASBOURG CEDEX 2;FRANCE;575;O
3012400690016;DE L'IXCEA;31200;TOULOUSE;FRANCE;115;N
3012401160013;LE PUBLIEUR;75006;PARIS;FRANCE;212;O
3012401350018;PAARI;28240;LA LOUPE;FRANCE;94;O
3012402160012;A REBOURS;69001;LYON;FRANCE;15;N
3012402770013;SEVEN ORIENTS;75012;PARIS;FRANCE;2;N
3012402910013;EDRS - TEC INFOR COM;45023;ORLEANS CEDEX 1;FRANCE;5;N
3012403460012;EXCELSIS;26450;CHAROLS;FRANCE;1884;N
3012403550010;SOCRATE - PROMAREX;B 6030;MARCHIENNE AU PONT;BELGIQUE;18;O
3012403790010;BIBLIEUROPE;75019;PARIS;FRANCE;446;N
3012404080011;SOFICOM DIFFUSION;75008;PARIS;FRANCE;354;N
3012404720016;DES TRIANONS;60631;CHANTILLY CEDEX;FRANCE;5;N
3012404970000;BRUNO DE NYS;06570;ST PAUL;FRANCE;8;O
3012405001015;EDITIONS AVERBODE  ERASME;B 5004;NAMUR;BELGIQUE;55;N
3012405001114;VAN IN;B 2160;WOMMELGEM;BELGIQUE;7944;O
3012405002708;ATELIER 340 MUZEUM;B 1090;BRUXELLES;BELGIQUE;19;N
3012405003019;CHEZ WAYNEST;B 2018;ANVERS;BELGIQUE;1;N
3012405005518;ASBL DE NUMISMATIQUE PROFESSEUR HOC;B 1348;LOUVAIN -LA -NEUVE;BELGIQUE;38;N
3012405009813;BADEAUX DISTRIBUTION;B 1200;BRUXELLES;BELGIQUE;14;O
3012405010109;MIRWALE;B 5640;MAISON SAINT GERARD;BELGIQUE;9;N
3012405010819;QUADRATURE ASBL;B 1348;LOUVAIN LA NEUVE;BELGIQUE;4;O
3012405014510;PRESSES AGRONOMIQUES DE GEMBLOUX;B 5030;GEMBLOUX;BELGIQUE;96;N
3012407040012;CATHERINE COUSIN;06270;VILLENEUVE LOUBET;FRANCE;21;N
3012407240016;VOLETS VERTS;92100;BOULOGNE BILLANCOURT;FRANCE;18;O
3012407520019;SANA;75011;PARIS;FRANCE;155;N
3012407660012;R&N MAS;13205;MARSEILLE CEDEX 01;FRANCE;1;N
3012407770018;VIDAL;92789;ISSY MOULINEAUX CEDEX 9;FRANCE;15;O
3012407920017;SALVATOR - YVES BRIEND;75006;PARIS;FRANCE;7925;O
3012407980011;DU COLIBRIS;70200;ST GERMAIN;FRANCE;9;N
3012408840017;CORSAIRE;45000;ORLEANS;FRANCE;385;O
3012408990019;MONTBEL;75008;PARIS;FRANCE;251;O
3012409080016;BRUNO FRASCONE;49620;LA POMMERAYE;FRANCE;4;N
3012409290019;HENGOUN;56400;PLUNERET;FRANCE;4;N
3012409470015;LIVRIOR;38120;LE FONTANIL;FRANCE;37;N
3012409480014;TRIPOLE;78250;OINVILLE SUR MONTCIENT;FRANCE;4;N
3012409510018;KIRRA;78000;VERSAILLES;FRANCE;1;N
3012409650011;NJART;06440;LUCERAM;FRANCE;5;N
3012409670019;ENTRE DEUX RIVES;83510;LORGUES;FRANCE;29;N
3012409680018;MEGACOM-IK;75013;PARIS;FRANCE;36;N
3012409690017;COOP BREIZH;29540;SPEZET;FRANCE;4943;O
3012409700013;MUSNIER-GILBERT - M&G;01000;BOURG EN BRESSE;FRANCE;98;N
